local_term,english_term,language,status
wala ko kasugtan nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
wala ko kasugtan nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
wala ko kasugtan nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
wala ko kasugtan nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
wala ko kasugtan nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
wala ko kasugtan nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
wala ko kasugtan nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
wala ko kasugtan nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
wala ko kasugtan nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
wala ko kasugtan nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
wala ko kasugtan nakuryente ko sang kuryente gid,electrical injury,hiligaynon,active
wala ko kasugtan nakuryente ko sang kuryente gid ko,electrical injury,hiligaynon,active
wala ko kasugtan nakuryente ko sang kuryente ko gid,electrical injury,hiligaynon,active
wala ko kasugtan nakuryente ko sang kuryente man,electrical injury,hiligaynon,active
wala ko kasugtan nakuryente ko sang kuryente na gid,electrical injury,hiligaynon,active
wala ko kasugtan nautod na tudlo ko sang makina gid,amputated finger,hiligaynon,active
wala ko kasugtan nautod na tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
wala ko kasugtan nautod na tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
wala ko kasugtan nautod na tudlo ko sang makina man,amputated finger,hiligaynon,active
wala ko kasugtan nautod na tudlo ko sang makina na gid,amputated finger,hiligaynon,active
wala ko kasugtan nautod tudlo ko sang makina gid,amputated finger,hiligaynon,active
wala ko kasugtan nautod tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
wala ko kasugtan nautod tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
wala ko kasugtan nautod tudlo ko sang makina man,amputated finger,hiligaynon,active
wala ko kasugtan nautod tudlo ko sang makina na gid,amputated finger,hiligaynon,active
wala ko kasugtan ubo ko kag ginahilanat gid,fever with cough,hiligaynon,active
wala ko kasugtan ubo ko kag ginahilanat gid ko,fever with cough,hiligaynon,active
wala ko kasugtan ubo ko kag ginahilanat ko gid,fever with cough,hiligaynon,active
wala ko kasugtan ubo ko kag ginahilanat man,fever with cough,hiligaynon,active
wala ko kasugtan ubo ko kag ginahilanat na gid,fever with cough,hiligaynon,active
wala ko kusog,fatigue,hiligaynon,active
wala ko mabatyag batiis ko,leg numbness,hiligaynon,active
wala ko mabatyag buuk ko,arm numbness,hiligaynon,active
wala ko mabatyag kamot ko,hand numbness,hiligaynon,active
wala ko mabatyag lawas ko,body numbness,hiligaynon,active
wala ko mabatyag tiil ko,foot numbness,hiligaynon,active
wala ko mabatyag tudlo ko,finger numbness,hiligaynon,active
wala ko maka-agi sang naguyam,post-seizure confusion,hiligaynon,active
wala ko maka-agom,missed period,hiligaynon,active
wala ko maka-amim,loss of smell,hiligaynon,active
wala ko maka-dungog,hearing loss,hiligaynon,active
wala ko maka-ginhawa tungod sa pagkaon,choking,hiligaynon,active
wala ko maka-hambal maayo,speech difficulty,hiligaynon,active
wala ko maka-ihi,urinary retention,hiligaynon,active
wala ko maka-inom tubig,dehydration,hiligaynon,active
wala ko maka-tulog,insomnia,hiligaynon,active
wala ku kasugtan budlay gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
wala ku kasugtan budlay gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
wala ku kasugtan budlay gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
wala ku kasugtan budlay gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
wala ku kasugtan budlay gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
wala ku kasugtan gahabok dila ko gid gid,swollen tongue,hiligaynon,active
wala ku kasugtan gahabok dila ko gid gid ko,swollen tongue,hiligaynon,active
wala ku kasugtan gahabok dila ko gid ko gid,swollen tongue,hiligaynon,active
wala ku kasugtan gahabok dila ko gid man,swollen tongue,hiligaynon,active
wala ku kasugtan gahabok dila ko gid na gid,swollen tongue,hiligaynon,active
wala ku kasugtan ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
wala ku kasugtan ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
wala ku kasugtan ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
wala ku kasugtan ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
wala ku kasugtan ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
wala ku kasugtan ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
wala ku kasugtan ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
wala ku kasugtan ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
wala ku kasugtan ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
wala ku kasugtan ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
wala ku kasugtan may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
wala ku kasugtan may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
wala ku kasugtan may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
wala ku kasugtan may pilas ko sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
wala ku kasugtan may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
wala ku kasugtan nabali kamot ko sang natumba gid,hand fracture,hiligaynon,active
wala ku kasugtan nabali kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
wala ku kasugtan nabali kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
wala ku kasugtan nabali kamot ko sang natumba man,hand fracture,hiligaynon,active
wala ku kasugtan nabali kamot ko sang natumba na gid,hand fracture,hiligaynon,active
wala ku kasugtan nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
wala ku kasugtan nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
wala ku kasugtan nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
wala ku kasugtan nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
wala ku kasugtan nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
wala ku kasugtan nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
wala ku kasugtan nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
wala ku kasugtan nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
wala ku kasugtan nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
wala ku kasugtan nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
wala ku kasugtan nakuryente ko sang kuryente gid,electrical injury,hiligaynon,active
wala ku kasugtan nakuryente ko sang kuryente gid ko,electrical injury,hiligaynon,active
wala ku kasugtan nakuryente ko sang kuryente ko gid,electrical injury,hiligaynon,active
wala ku kasugtan nakuryente ko sang kuryente man,electrical injury,hiligaynon,active
wala ku kasugtan nakuryente ko sang kuryente na gid,electrical injury,hiligaynon,active
wala ku kasugtan nautod tudlo ko sang makina gid,amputated finger,hiligaynon,active
wala ku kasugtan nautod tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
wala ku kasugtan nautod tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
wala ku kasugtan nautod tudlo ko sang makina man,amputated finger,hiligaynon,active
wala ku kasugtan nautod tudlo ko sang makina na gid,amputated finger,hiligaynon,active
wala na ko kusog,fatigue,hiligaynon,active
wala sakit,healthy,hiligaynon,active
walang allergy,no known allergies,hiligaynon,active
walang kilalang allergy,no known allergies,hiligaynon,active
walay allergy,no known allergies,hiligaynon,active
walay sakit,healthy,hiligaynon,active
walnut allergy,tree nut allergy,hiligaynon,active
warts,viral wart,hiligaynon,active
wasp allergy,wasp sting allergy,hiligaynon,active
weak,fatigue,hiligaynon,active
weak bones,osteoporosis,hiligaynon,active
weakness,fatigue,hiligaynon,active
wine allergy,sulfite sensitivity,hiligaynon,active
worms,parasitic infection,hiligaynon,active
wound infection,wound infection,hiligaynon,active
yeast allergy,yeast allergy,hiligaynon,active
yeast infection,candidiasis,hiligaynon,active
yellow dye allergy,food coloring allergy,hiligaynon,active
yellow fever skin,jaundice,hiligaynon,active
yellow jaundice,jaundice,hiligaynon,active
indi ko makahambal,speech difficulty,hiligaynon,active
dili ko makahambal,speech difficulty,hiligaynon,active
budlay magginhawa,difficulty breathing,hiligaynon,active
dula ginhawa,difficulty breathing,hiligaynon,active
indi ko makaginhawa,difficulty breathing,hiligaynon,active
ginakapos,difficulty breathing,hiligaynon,active
nagdugo,bleeding,hiligaynon,active
gadugo,bleeding,hiligaynon,active
nagadugo,bleeding,hiligaynon,active
grabe gid nagadugo,bleeding,hiligaynon,active
nagdugo gid,bleeding,hiligaynon,active
indi ko maka-ihi,urinary retention,hiligaynon,active
wala maka-ihi,urinary retention,hiligaynon,active
ginahilanat gid,fever,hiligaynon,active
gasakit dughan,chest pain,hiligaynon,active
nasunog,burn,hiligaynon,active
nasunog ko,burn,hiligaynon,active
nasunog sang,burn,hiligaynon,active
ginadudul-om,diarrhea,hiligaynon,active
ginadudulom,diarrhea,hiligaynon,active
dul-om,diarrhea,hiligaynon,active
dulom,dark urine,hiligaynon,active
gahabok,swelling,hiligaynon,active
gahubag,swelling,hiligaynon,active
habok,swelling,hiligaynon,active
namaga,swelling,hiligaynon,active
gahubag gid,swelling,hiligaynon,active
may nana sa,infection,hiligaynon,active
ginasuka,vomiting,hiligaynon,active
gasakit,pain,hiligaynon,active
sakit,pain,hiligaynon,active
ginabaldom,pain,hiligaynon,active
gakatol,itching,hiligaynon,active
ginakamang,itching,hiligaynon,active
nabali,fracture,hiligaynon,active
naukas,fracture,hiligaynon,active
nabali ko,fracture,hiligaynon,active
nabali ang,fracture,hiligaynon,active
galuya,weakness,hiligaynon,active
maluya,weakness,hiligaynon,active
may pilas,wound,hiligaynon,active
nautod,amputation,hiligaynon,active
na-utod,amputation,hiligaynon,active
nautod ko,amputation,hiligaynon,active
gapula,redness,hiligaynon,active
mapula,redness,hiligaynon,active
ginapula,redness,hiligaynon,active
gahika,cough,hiligaynon,active
talukap mata,eyelid,hiligaynon,active
talukap mata ko,eyelid,hiligaynon,active
bukongbukong,ankle,hiligaynon,active
bukongbukong ko,ankle,hiligaynon,active
kilid mata,eyelid,hiligaynon,active
kilid mata ko,eyelid,hiligaynon,active
ngabil,lip,hiligaynon,active
ngabil ko,lip,hiligaynon,active
dughan ko,chest,hiligaynon,active
pisngi ko,cheek,hiligaynon,active
tungod ko,throat,hiligaynon,active
singit,groin,hiligaynon,active
singit ko,groin,hiligaynon,active
ilong ko,nose,hiligaynon,active
abaga ko,shoulder,hiligaynon,active
tiyan ko,abdomen,hiligaynon,active
likod ko,back,hiligaynon,active
tudlo ko,finger,hiligaynon,active
tuhod ko,knee,hiligaynon,active
itlog,testicle,hiligaynon,active
itlog ko,testicle,hiligaynon,active
bilat,vagina,hiligaynon,active
bilat ko,vagina,hiligaynon,active
bilad,vagina,hiligaynon,active
bilad ko,vagina,hiligaynon,active
lawas ko,body,hiligaynon,active
bayag,scrotum,hiligaynon,active
bayag ko,scrotum,hiligaynon,active
kipay,vulva,hiligaynon,active
kipay ko,vulva,hiligaynon,active
baba ko,chin,hiligaynon,active
dila ko,tongue,hiligaynon,active
liog ko,neck,hiligaynon,active
siko ko,elbow,hiligaynon,active
lasi,wound site,hiligaynon,active
lasi ko,wound site,hiligaynon,active
kuko ko,nail,hiligaynon,active
hita,thigh,hiligaynon,active
hita ko,thigh,hiligaynon,active
titi ko,breast,hiligaynon,active
ari,penis,hiligaynon,active
ari ko,penis,hiligaynon,active
ulo ko,head,hiligaynon,active
daw indi ko makabaton sang kamot,arm weakness,hiligaynon,active
indi ko makabaton sang kamot ko,arm weakness,hiligaynon,active
lemah ang kamot ko,arm weakness,hiligaynon,active
gahubag lawas kag gakatol,allergic reaction,hiligaynon,active
gahubag kag gakatol lawas ko,allergic reaction,hiligaynon,active
hilanat gid,high fever,hiligaynon,active
ginahilanat ko 3 ka adlaw na,high fever,hiligaynon,active
nabunggo sa salakyan,vehicle collision injury,hiligaynon,active
naaksidente ko,vehicle collision injury,hiligaynon,active
gusto ko magpatay,suicidal ideation,hiligaynon,active
buot ko magpakamatay,suicidal ideation,hiligaynon,active
ginkagat sang ido,dog bite,hiligaynon,active
ginkagat ko sang ido,dog bite,hiligaynon,active
masakit gid tiyan ko,severe abdominal pain,hiligaynon,active
grabe sakit tiyan ko,severe abdominal pain,hiligaynon,active
masakit pag-ihi,painful urination,hiligaynon,active
masakit pagihi,painful urination,hiligaynon,active
sakit pag-ihi ko,painful urination,hiligaynon,active
galagas buhok,hair loss,hiligaynon,active
nagalagas buhok ko,hair loss,hiligaynon,active
gakitol mata,eye irritation,hiligaynon,active
mahamok mata ko,eye irritation,hiligaynon,active
may butlig sa mata,eye irritation,hiligaynon,active
nakuryente,electrical injury,hiligaynon,active
mataas presyon,hypertension,hiligaynon,active
taas presyon,hypertension,hiligaynon,active
nabun-og ulo,head injury,hiligaynon,active
nabunog ulo,head injury,hiligaynon,active
nasumbag ulo ko,head injury,hiligaynon,active
naguyam,seizure,hiligaynon,active
nag-uyam,seizure,hiligaynon,active
nag convulsion,seizure,hiligaynon,active
gasakit ulo,headache,hiligaynon,active
masakit ulo,headache,hiligaynon,active
sakit sa ulo,headache,hiligaynon,active
nahilo tiyan,nausea,hiligaynon,active
ginasuka-uka,nausea,hiligaynon,active
nabun-og,bruise,hiligaynon,active
nabunog,bruise,hiligaynon,active
may pasa,bruise,hiligaynon,active
gapula mata,red eyes,hiligaynon,active
gakatol bilat,vaginal itching,hiligaynon,active
kakatol bilat,vaginal itching,hiligaynon,active
gakatol ari,penile itching,hiligaynon,active
galuya lawas,body weakness,hiligaynon,active
ginabahing,shortness of breath,hiligaynon,active
ginakapos ginhawa,difficulty breathing,hiligaynon,active
ginahubak,wheezing,hiligaynon,active
aking ulo,headache,hiligaynon,active
ginakalipong,dizziness,hiligaynon,active
ginamanhid,numbness,hiligaynon,active
pamamanhid,numbness,hiligaynon,active
ginakurog,tremor,hiligaynon,active
nagakonvulsyon,seizure,hiligaynon,active
atake bakukang,seizure,hiligaynon,active
kusog tibok,palpitations,hiligaynon,active
ginakulba,anxiety,hiligaynon,active
barado ilong,runny nose,hiligaynon,active
ginakalibanga,diarrhea,hiligaynon,active
ginakasukaon,nausea,hiligaynon,active
wala gana kaon,loss of appetite,hiligaynon,active
ginabuot,constipation,hiligaynon,active
sige ihi,frequent urination,hiligaynon,active
may dugo sa ihi,blood in urine,hiligaynon,active
indi maka ihi,urinary retention,hiligaynon,active
mainit lawas,fever,hiligaynon,active
malabo panulok,blurred vision,hiligaynon,active
nagatingog dalunggan,tinnitus,hiligaynon,active
indi katulog,insomnia,hiligaynon,active
ginakasubo,sadness,hiligaynon,active
ginakabalaka,stress,hiligaynon,active
pus-on masakit,abdominal pain,hiligaynon,active
kilid masakit,flank pain,hiligaynon,active
singit masakit,groin pain,hiligaynon,active
itlog masakit,testicular pain,hiligaynon,active
gahabok itlog,testicular swelling,hiligaynon,active
gahubag itlog,testicular swelling,hiligaynon,active
may nana bilat,vaginal discharge,hiligaynon,active
may nana ari,penile discharge,hiligaynon,active
gadugo bilat,vaginal bleeding,hiligaynon,active
gadugo ari,penile bleeding,hiligaynon,active
namaga dila,tongue swelling,hiligaynon,active
gahubag ngabil,lip swelling,hiligaynon,active
nasunog sang mantika,burn,hiligaynon,active
daw indi makahambal,speech difficulty,hiligaynon,active
daw indi makabaton kamot,arm weakness,hiligaynon,active
nagdugo ulo,head bleeding,hiligaynon,active
gusto magpakamatay,suicidal ideation,hiligaynon,active
naka-inom lason,poisoning,hiligaynon,active
naipit bukog tutunlan,choking,hiligaynon,active
kalit nabulag,sudden vision loss,hiligaynon,active
grabe sakit tiyan kag gahubag,severe abdominal pain,hiligaynon,active
sobra nagsuka kag wala ihi,severe dehydration,hiligaynon,active
ginaubo dugo,coughing blood,hiligaynon,active
nagauba dugo,coughing blood,hiligaynon,active
kapoy ko,fatigue,hiligaynon,active
gakatol lawas ko,itching,hiligaynon,active
gapula lawas ko,rash,hiligaynon,active
butlig-butlig,rash,hiligaynon,active
pantal-pantal,hives,hiligaynon,active
sip-on ko,runny nose,hiligaynon,active
barado ako ilong,nasal congestion,hiligaynon,active
hapdi tutunlan ko,sore throat,hiligaynon,active
sige ako ihi,frequent urination,hiligaynon,active
kulba gid ko,anxiety,hiligaynon,active
kabalaka gid,stress,hiligaynon,active
indi ako katulog,insomnia,hiligaynon,active
malungkot gid ko,sadness,hiligaynon,active
luya tiil ko,leg weakness,hiligaynon,active
luya kamot ko,arm weakness,hiligaynon,active
manhid kamot ko,hand numbness,hiligaynon,active
manhid tiil ko,leg numbness,hiligaynon,active
kurog kamot ko,hand tremor,hiligaynon,active
tibok mabilis,palpitations,hiligaynon,active
asukal taas,high blood sugar,hiligaynon,active
hubak-hubak,wheezing,hiligaynon,active
hingal-hingal,shortness of breath,hiligaynon,active
daw may gahugot sa dughan,chest pain,hiligaynon,active
sakit dughan nagakalat sa abaga,chest pain,hiligaynon,active
sakit dughan kag nagasinghot,chest pain,hiligaynon,active
ginahingal bisan magpahuway,shortness of breath,hiligaynon,active
indi makatulog tungod budlay ginhawa,orthopnea,hiligaynon,active
nagagamit tiyan pagginhawa,difficulty breathing,hiligaynon,active
kalit indi makahambal maayo,speech difficulty,hiligaynon,active
nabulol ang panulti,slurred speech,hiligaynon,active
nagakagat dila,seizure,hiligaynon,active
naguyam liwat-liwag,seizure,hiligaynon,active
nagaibot dugo madamo,bloody stool,hiligaynon,active
itim ang tae,black stool,hiligaynon,active
tae daw alkitran,black stool,hiligaynon,active
nagsuka sang dugo,vomiting blood,hiligaynon,active
kalit gahubag ngabil,facial swelling,hiligaynon,active
nakakaon shrimps kag budlay magginhawa,allergic reaction,hiligaynon,active
ginkagat putakti,insect sting,hiligaynon,active
nainom bleach,poisoning,hiligaynon,active
nainom kerosene,poisoning,hiligaynon,active
buntis kag nagdugo madamo,pregnancy bleeding,hiligaynon,active
indi ko mabatyagan ang bata,reduced fetal movement,hiligaynon,active
bata gahingal kag asul,pediatric cyanosis,hiligaynon,active
asukal baba kag indi magmata,hypoglycemia,hiligaynon,active
diabetis kag nagsuka kag ginahingal,diabetic ketoacidosis,hiligaynon,active
sakit ihi kag ginahilanat,urinary tract infection,hiligaynon,active
suga sa liog magtig-a,neck stiffness,hiligaynon,active
kalit nabuta ang isa ka mata,sudden vision loss,hiligaynon,active
indi makaihi sang adlaw,urinary retention,hiligaynon,active
kalit sakit itlog,testicular pain,hiligaynon,active
nagatibok dughan madasig,palpitations,hiligaynon,active
ginaasikaso maghikog,suicidal ideation,hiligaynon,active
ginkagat aso,dog bite,hiligaynon,active
ginkagat sawa,snake bite,hiligaynon,active
nalumos sa dagat,near drowning,hiligaynon,active
ginainitan lawas,heat stroke,hiligaynon,active
hapdi mag-ihi,dysuria,hiligaynon,active
masami mag-ihi,frequent urination,hiligaynon,active
gamay lang ihi,low urine output,hiligaynon,active
nagalibot ulo,vertigo,hiligaynon,active
daw naga-ikot palibot,vertigo,hiligaynon,active
nagatingting dulunggan,tinnitus,hiligaynon,active
may tunog sa dalunggan,tinnitus,hiligaynon,active
nagaibus dugo sa ilong,nosebleed,hiligaynon,active
indi makatulog,insomnia,hiligaynon,active
wala gana magkaon,loss of appetite,hiligaynon,active
indi makaibot,constipation,hiligaynon,active
tig-a tae,constipation,hiligaynon,active
grabe dugo sa regla,heavy menstrual bleeding,hiligaynon,active
cramps sa regla,menstrual pain,hiligaynon,active
sakit sa regla,menstrual pain,hiligaynon,active
pig-ot dughan ko,chest tightness,hiligaynon,active
asul na ang ngabil ko,cyanosis,hiligaynon,active
asul na daliri ko,cyanosis,hiligaynon,active
nabalyo ang guya ko,facial droop,hiligaynon,active
indi ko maalsa ang isa ka kamot,arm weakness,hiligaynon,active
nagalumay ang panulti ko,slurred speech,hiligaynon,active
kalit nadula panulok,vision loss,hiligaynon,active
kalit sakit ulo nga grabe gid,severe headache,hiligaynon,active
nagaibus bula sa baba,foaming at mouth,hiligaynon,active
may plano ako magpakamatay,suicidal ideation,hiligaynon,active
mas maayo kung wala na ako,suicidal ideation,hiligaynon,active
ginahunahuna ko maghikog,suicidal ideation,hiligaynon,active
naipit pagkaon sa tutunlan,choking,hiligaynon,active
nainom sang rat poison,poisoning,hiligaynon,active
nainom sang insecticide,poisoning,hiligaynon,active
nasinghot sang smoke,smoke inhalation,hiligaynon,active
nagaawas tubig samtang buntis,water breaking,hiligaynon,active
ginahilanat ang bata kag naguyam,febrile seizure,hiligaynon,active
asukal sobra taas,hyperglycemia,hiligaynon,active
asukal sobra baba,hypoglycemia,hiligaynon,active
mapula nagahapdi ang pilas,cellulitis,hiligaynon,active
gina-kagat sang man-og,snake bite,hiligaynon,active
sobra kainit lawas,heat emergency,hiligaynon,active
sobra katugnaw lawas,hypothermia,hiligaynon,active
nagahimo kaugalingon nga kalainan,self harm,hiligaynon,active
masakit tiyan kag nagaibot itim,abdominal pain with melena,hiligaynon,active
kalit sakit tiyan sa tuo nga baba,right lower abdominal pain,hiligaynon,active
gahubag kag kalit hapdi itlog,testicular torsion,hiligaynon,active
alta 180,hypertensive crisis,hiligaynon,active
oxygen mubo,low oxygen,hiligaynon,active
nagdugo liwat sing grabe,severe bleeding,hiligaynon,active
sakit orbita,eye pain,hiligaynon,active
sakit apapangig,jaw pain,hiligaynon,active
sakit tonsila,throat pain,hiligaynon,active
sakit kilikili,axilla pain,hiligaynon,active
sakit lumbay,low back pain,hiligaynon,active
sakit ilig,perineal pain,hiligaynon,active
hapdi ari,penile pain,hiligaynon,active
sakit tendo tikod,heel pain,hiligaynon,active
hapdi plantar,foot pain,hiligaynon,active
hapdi likod baba,low back pain,hiligaynon,active
sakit tuo dughan,chest pain,hiligaynon,active
sakit wala dughan,chest pain,hiligaynon,active
hilantan,fever,hiligaynon,active
ginahilantan,fever,hiligaynon,active
gilantan,fever,hiligaynon,active
naghilanat,fever,hiligaynon,active
ga hilanat,fever,hiligaynon,active
ga-hilanat,fever,hiligaynon,active
high fever,fever,hiligaynon,active
taas hilanat,fever,hiligaynon,active
ginatugnaw ko,chills,hiligaynon,active
tugnaw,chills,hiligaynon,active
ginatugnaw lawas,chills,hiligaynon,active
ginakaligtan,chills,hiligaynon,active
nagaligtan,chills,hiligaynon,active
ginapaginatugnaw,chills,hiligaynon,active
malamig lawas,chills,hiligaynon,active
ginakurig,chills,hiligaynon,active
nagakurig tungod tugnaw,chills,hiligaynon,active
ginakurog kag ginatugnaw,fever with chills,hiligaynon,active
ginakurog kag ginatugnaw ko,fever with chills,hiligaynon,active
hilanat kag tugnaw,fever with chills,hiligaynon,active
ginahilanat kag ginatugnaw,fever with chills,hiligaynon,active
mainit lawas kag ginatugnaw,fever with chills,hiligaynon,active
fever with chills,fever with chills,hiligaynon,active
ginasip-on ko,rhinorrhea,hiligaynon,active
ginasipon,rhinorrhea,hiligaynon,active
nagasipon,rhinorrhea,hiligaynon,active
ginabarado ilong,rhinorrhea,hiligaynon,active
nagaawas sipon,rhinorrhea,hiligaynon,active
may sip-on,rhinorrhea,hiligaynon,active
colds,rhinorrhea,hiligaynon,active
ginaubo ko,cough,hiligaynon,active
nagauubo,cough,hiligaynon,active
nagaubo,cough,hiligaynon,active
ginakuhul,cough,hiligaynon,active
dry cough,cough,hiligaynon,active
uga ubo,cough,hiligaynon,active
basa ubo,cough,hiligaynon,active
ginaginhawa ko budlay,dyspnea,hiligaynon,active
indi makaginhawa maayo,dyspnea,hiligaynon,active
ginakulbaan ko magginhawa,dyspnea,hiligaynon,active
ginakulbaan magginhawa,dyspnea,hiligaynon,active
kulbaan magginhawa,dyspnea,hiligaynon,active
ginahingal,dyspnea,hiligaynon,active
bahing,dyspnea,hiligaynon,active
kapos ginhawa,dyspnea,hiligaynon,active
breathless,dyspnea,hiligaynon,active
ginasakit ulo,headache,hiligaynon,active
sakit sang ulo,headache,hiligaynon,active
ulo masakit,headache,hiligaynon,active
nagasakit ulo,headache,hiligaynon,active
migren,headache,hiligaynon,active
ginasakit tutunlan,pharyngitis,hiligaynon,active
ginasakit tutunlan ko,pharyngitis,hiligaynon,active
hapdi tutunlan,pharyngitis,hiligaynon,active
sakit sa tutunlan,pharyngitis,hiligaynon,active
ginasakit dughan,chest pain,hiligaynon,active
sakit dibdib,chest pain,hiligaynon,active
masakit dibdib,chest pain,hiligaynon,active
pig-ot dughan,chest pain,hiligaynon,active
ginasakit tiyan,abdominal pain,hiligaynon,active
masakit sikmura,abdominal pain,hiligaynon,active
baldom tiyan,abdominal pain,hiligaynon,active
sakit sa tiyan,abdominal pain,hiligaynon,active
ginakalipong ko,dizziness,hiligaynon,active
lipong,dizziness,hiligaynon,active
dizzy,dizziness,hiligaynon,active
ginahilo,dizziness,hiligaynon,active
ginagsuka,vomiting,hiligaynon,active
nagasuka,vomiting,hiligaynon,active
ginapalanuka,nausea,hiligaynon,active
ginapalanuka ko,nausea,hiligaynon,active
kasukaon,nausea,hiligaynon,active
nahihilo tiyan,nausea,hiligaynon,active
ginabalik tiyan,nausea,hiligaynon,active
daw magasuka,nausea,hiligaynon,active
palanuka,nausea,hiligaynon,active
gana magasuka,nausea,hiligaynon,active
ginakalibanga ko,diarrhea,hiligaynon,active
nagakalibanga,diarrhea,hiligaynon,active
constipated ko,constipation,hiligaynon,active
constipated,constipation,hiligaynon,active
budlay mag-ibot,constipation,hiligaynon,active
dili makalibang,constipation,hiligaynon,active
ginadula kalibanga,constipation,hiligaynon,active
gina-constipation,constipation,hiligaynon,active
ginakapoy gid,fatigue,hiligaynon,active
ginakapoy gid ko,fatigue,hiligaynon,active
mahina lawas,fatigue,hiligaynon,active
luya,fatigue,hiligaynon,active
pagod gid,fatigue,hiligaynon,active
wala ko gana magkaon,anorexia,hiligaynon,active
wala gana,anorexia,hiligaynon,active
dili gana kaon,anorexia,hiligaynon,active
ginawala gana,anorexia,hiligaynon,active
wala appetite,anorexia,hiligaynon,active
indi gusto magkaon,anorexia,hiligaynon,active
nawala gana,anorexia,hiligaynon,active
ginapalanhubag,edema,hiligaynon,active
ginapalanhubag ko,edema,hiligaynon,active
nagahubag,edema,hiligaynon,active
palanhubag,edema,hiligaynon,active
ginahubag ang tiil,pedal edema,hiligaynon,active
ginahubag ang tiil ko,pedal edema,hiligaynon,active
gahubag tiil,pedal edema,hiligaynon,active
hubag tiil,pedal edema,hiligaynon,active
namaga tiil,pedal edema,hiligaynon,active
swollen feet,pedal edema,hiligaynon,active
gahabok tiil,pedal edema,hiligaynon,active
ginahubag ang kamot,hand edema,hiligaynon,active
ginahubag ang kamot ko,hand edema,hiligaynon,active
gahubag kamot,hand edema,hiligaynon,active
hubag kamot,hand edema,hiligaynon,active
namaga kamot,hand edema,hiligaynon,active
swollen hands,hand edema,hiligaynon,active
gahabok kamot,hand edema,hiligaynon,active
ginapalanum,paresthesia,hiligaynon,active
